condition_id,experiment_id,platform_id,comparability,workload,throughput_unit,study_type,num_workers,pinned_memory,prefetch_factor,trials,avg_data_loading_seconds,avg_transfer_seconds,avg_measured_seconds,avg_throughput_tokens_sec
E097@l40s,E097,l40s,exact,gpt2_small,training_tokens_per_second,num_workers,2,True,4,3,0.0066519249230623245,0.013434941259523233,35.81168232702961,45750.54685574933
E098@l40s,E098,l40s,exact,gpt2_small,training_tokens_per_second,num_workers,4,True,4,3,0.006534657285859187,0.012094489919642607,35.76982446170101,45804.00607099105
E099@l40s,E099,l40s,exact,gpt2_small,training_tokens_per_second,num_workers,8,True,4,3,0.005975982019056876,0.012648679160823425,35.85151106367508,45699.67899488932
E100@l40s,E100,l40s,exact,gpt2_small,training_tokens_per_second,num_workers,16,True,4,3,0.005308834835886955,0.012654255144298077,35.8212181359219,45738.26122213123
E101@l40s,E101,l40s,exact,gpt2_small,training_tokens_per_second,pinned_memory,4,False,4,3,0.07776214415207505,0.024278945289552212,35.93913127978643,45588.29514893063
E102@l40s,E102,l40s,exact,gpt2_small,training_tokens_per_second,pinned_memory,4,True,4,3,0.006709305879970391,0.013018563389778137,35.797100595043354,45769.10134137818
E103@l40s,E103,l40s,exact,gpt2_small,training_tokens_per_second,prefetch_factor,4,True,2,3,0.006607700449724992,0.012588433145234982,35.81523205945268,45746.19946034121
E104@l40s,E104,l40s,exact,gpt2_small,training_tokens_per_second,prefetch_factor,4,True,8,3,0.006201312722017367,0.012245397549122572,35.829272399035595,45728.02202480033
E105@l40s,E105,l40s,exact,distilbert,training_tokens_per_second,num_workers,2,True,4,3,0.005804838767896096,0.01078465518852075,5.806442477895568,282169.8339904261
E106@l40s,E106,l40s,exact,distilbert,training_tokens_per_second,num_workers,4,True,4,3,0.005738576253255208,0.011386793106794357,5.8056833441369236,282212.9003741154
E107@l40s,E107,l40s,exact,distilbert,training_tokens_per_second,num_workers,8,True,4,3,0.005130874924361706,0.010823288932442665,5.819239846430719,281549.0429388198
E108@l40s,E108,l40s,exact,distilbert,training_tokens_per_second,num_workers,16,True,4,3,0.004221413439760606,0.01027012849226594,5.8221446781729655,281412.94854819926
E109@l40s,E109,l40s,exact,distilbert,training_tokens_per_second,pinned_memory,4,False,4,3,0.07489820305878918,0.023344753465304773,5.901816677767783,277612.5803972925
E110@l40s,E110,l40s,exact,distilbert,training_tokens_per_second,pinned_memory,4,True,4,3,0.0060125904468198614,0.01105050059656302,5.799604228852938,282506.11633488844
E111@l40s,E111,l40s,exact,distilbert,training_tokens_per_second,prefetch_factor,4,True,2,3,0.005844858009368181,0.013039634252587954,5.78194795968011,283368.3864329841
E112@l40s,E112,l40s,exact,distilbert,training_tokens_per_second,prefetch_factor,4,True,8,3,0.004935193496445815,0.011233713322629532,5.799144613090903,282528.13825027115
