condition_id,experiment_id,platform_id,comparability,phase,priority,workload,model,mode,gpus,precision,strategy,status,throughput_unit,throughput_tokens_sec,throughput_samples_sec,runtime_seconds,gpu_hours_estimate,actual_gpu_hours,throughput_tokens_per_gpu,throughput_samples_per_gpu,tokens_per_estimated_gpu_hour,samples_per_estimated_gpu_hour,tokens_per_actual_gpu_hour,samples_per_actual_gpu_hour,energy_joules,energy_scope,tokens_per_kwh
E058@h100,E058,h100,exact,Distributed training strategy,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,fsdp,completed,training_tokens_per_second,2718180.1308089304,5308.945567986192,17.105932970065624,2.4,0.00267891656452169,679545.0327022326,1327.236391996548,2730666.666666667,5333.333333333334,2446362117.7280374,4778051.011187573,4672.018727860374,measured_region,5049842771.243507
E058@h100,E058,h100,exact,Distributed training strategy,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,fsdp,completed,training_tokens_per_second,2715865.8022243395,5304.425394969413,16.77625480305869,2.4,0.0026811994067651944,678966.4505560849,1326.1063487423532,2730666.666666667,5333.333333333334,2444279222.0019054,4773982.855472472,4604.311241302656,measured_region,5124101904.397987
E058@h100,E058,h100,exact,Distributed training strategy,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,fsdp,completed,training_tokens_per_second,2689956.712777271,5253.821704643107,17.071799692930654,2.4,0.0027070241477081757,672489.1781943177,1313.4554261607768,2730666.666666667,5333.333333333334,2420961041.4995437,4728439.534178796,4725.057965648745,measured_region,4993157792.247468
E056@h100,E056,h100,exact,Distributed training strategy,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2557864.640586529,4995.829376145564,16.812298135017045,2.4,0.0028468190467295547,639466.1601466322,1248.957344036391,2730666.666666667,5333.333333333334,2302078176.5278764,4496246.438531009,5033.794440678843,measured_region,4686913674.770225
E043@h100,E043,h100,exact,Weak scaling,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2550008.7935802937,4980.485924961511,16.286508050980046,2.0,0.002855589281146725,637502.1983950734,1245.1214812403778,3276800.0,6400.0,2295007914.222264,4482437.332465359,5020.497321524439,measured_region,4699327275.576787
E040@h100,E040,h100,exact,Strong scaling,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2545008.1780114286,4970.719097678571,16.82963444897905,2.0,0.0028612001488606134,636252.0445028571,1242.6797744196429,3276800.0,6400.0,2290507360.2102857,4473647.187910714,5072.15254470218,measured_region,4651468935.9338455
E040@h100,E040,h100,exact,Strong scaling,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2542426.0579620353,4965.6758944571,16.804487121058628,2.0,0.0028641060199071137,635606.5144905088,1241.418973614275,3276800.0,6400.0,2288183452.165832,4469108.305011391,5038.083908085149,measured_region,4682923196.681554
E056@h100,E056,h100,exact,Distributed training strategy,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2541594.9586898773,4964.052653691167,16.910491438931786,2.4,0.002865042580007058,635398.7396724693,1241.0131634227916,2730666.666666667,5333.333333333334,2287435462.8208895,4467647.38832205,5005.525648856339,measured_region,4713383100.012785
E043@h100,E043,h100,exact,Weak scaling,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2540077.766195801,4961.089387101174,16.4985719260294,2.0,0.0028667538745018343,635019.4415489503,1240.2723467752935,3276800.0,6400.0,2286069989.576221,4464980.448391057,5043.487321090797,measured_region,4677906079.259728
E040@h100,E040,h100,exact,Strong scaling,Must Have,distilbert,distilbert-base-uncased,training,4,bf16,ddp,completed,training_tokens_per_second,2537448.127486948,4955.953373997945,16.54403565498069,2.0,0.0028697247832961794,634362.031871737,1238.9883434994863,3276800.0,6400.0,2283703314.738253,4460358.036598151,5055.454433565769,measured_region,4666832687.355299
