condition_id,experiment_id,platform_id,comparability,workload,model,platform,framework,precision,gpus,batch_size,concurrent_requests,prompt_length,throughput_unit,trials,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_latency_p50_ms,avg_latency_p95_ms,avg_ttft_p50_ms,avg_queueing_p50_ms,avg_memory_used_gb,avg_energy_joules
E006@h100,E006,h100,platform_specific,environment_validation,all,lovelace_h100,vllm,bf16,1,,,,generated_tokens_per_second,1,245.24840703665578,,8.15499690361321,8.15499690361321,8.15499690361321,,71.9375,
E006@l40s,E006,l40s,platform_specific,environment_validation,all,lovelace_l40s,vllm,bf16,1,,,,generated_tokens_per_second,1,255.82304415539363,,7.817903999239206,7.817903999239206,7.817903999239206,,40.609375,
E010@h100,E010,h100,exact,gpt2_small,gpt2,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,292.7216616740463,,437.22836100884405,439.5538891122366,4.8624536527010305,,0.9775390625,6110.307853870396
E010@l40s,E010,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,289.3171668521417,,439.61447399730486,441.48324272440124,4.525231352696816,,0.796875,
E011@h100,E011,h100,exact,gpt2_small,gpt2,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,290.9118737911284,,439.94698555131134,442.34011761727743,4.863074320989351,,0.9775390625,6174.595173874816
E011@l40s,E011,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,289.1738539651801,,441.8862765499701,443.5225394787267,4.5300680212676525,,0.818359375,
E014@h100,E014,h100,exact,distilbert,distilbert-base-uncased,lovelace_h100,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,81175.99304821918,634.1874456892124,1.5549386735074222,1.5954521232439827,,,0.8505859375,17.416410486179714
E014@l40s,E014,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,92255.5867191296,720.7467712432,1.3766710180789232,1.4004354132339358,,,0.650390625,
E015@h100,E015,h100,exact,distilbert,distilbert-base-uncased,lovelace_h100,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,80915.18753307442,632.1499026021439,1.5559924844031532,1.6068045787202816,,,0.8505859375,17.70056705866669
E015@l40s,E015,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,92134.8803195248,719.8037524962875,1.3750985575218995,1.4020029300202925,,,0.650390625,
